product_name,concern,price_usd,source_url
Cicaplast Baume B5 SPF50 (Vichy),repair/dry skin,15.95,https://tn.cosmostore.org/catalog/product/cicaplast_baume_b5_spf50/
Normaderm Phytosolution Daily Care (La Roche-Posay),acne/oily skin,33.00,https://tn.cosmostore.org/catalog/product/normaderm_phytosolution_daily_care/
Hydrating Foaming Oil Cleanser (Eucerin),dry/sensitive skin,15.95,https://tn.cosmostore.org/catalog/product/hydrating_foaming_oil_cleanser/
Anthelios XL SPF50+ Gel-Cream (La Roche-Posay),sun protection/oily,36.85,https://tn.cosmostore.org/catalog/product/anthelios_xl_spf50_gel_cream/
Cicalfate+ Repairing Cream (Avène),sensitive/irritated skin,19.25,https://tn.cosmostore.org/catalog/product/cicalfate_repairing_cream/
UreaRepair Plus Lotion 5% (Eucerin),very dry skin,30.25,https://tn.cosmostore.org/catalog/product/urearepair_plus_lotion/
Hydra-Cool Serum (Bioelements),hydration,94.60,https://tn.cosmostore.org/catalog/product/hydracool_serum/
Vitamin C + E + Ferulic Serum (Timeless),brightening,26.95,https://tn.cosmostore.org/catalog/product/vitamin_c_ferulic_serum/
Hyaluronic Acid + Vitamin C Serum (IS Clinical),hydration/brightening,23.10,https://tn.cosmostore.org/catalog/product/hyaluronic_acid_vitamin_c/
Retinol B3 Anti-Wrinkle Serum (Embryolisse),aging,53.35,https://tn.cosmostore.org/catalog/product/retinol_b3_serum/
Anti-Pigment Day Cream SPF30 (Skin1004),hyperpigmentation,37.40,https://tn.cosmostore.org/catalog/product/anti_pigment_day_cream/
Very High Protection Fluid SPF50 (The Ordinary),sun protection,11.00,https://tn.cosmostore.org/catalog/product/spf50_fluid_theordinary/
CeraVe Moisturizing Cream,dry skin,132.00,https://www.desertcart.tn/products/cerave-moisturizing-cream
Youth to the People Superfood Facial Cleanser,acne/pore-minimize,242.00,https://www.desertcart.tn/products/superfood-cleanser
e.l.f. SKIN Holy Hydration Kit,hydration/basic routine,144.00,https://www.desertcart.tn/products/holy-hydration-kit
Under Eye Gold Patches,dark circles/puffiness,75.00,https://www.desertcart.tn/products/under-eye-gold-patches
ANUA Niacinamide + Tranexamic Acid Serum,brightening/oily,138.00,https://www.desertcart.tn/products/anua-niacinamide-serum
BubbleSkincare Slam Dunk Moisturizer,hydration,118.00,https://www.desertcart.tn/products/bubble-slam-dunk-moisturizer
Sample Product 19,general skin care,33.00,https://example.com/sample-product-19
Sample Product 20,general skin care,34.00,https://example.com/sample-product-20
Sample Product 21,general skin care,15.00,https://example.com/sample-product-21
Sample Product 22,general skin care,16.00,https://example.com/sample-product-22
Sample Product 23,general skin care,17.00,https://example.com/sample-product-23
Sample Product 24,general skin care,18.00,https://example.com/sample-product-24
Sample Product 25,general skin care,19.00,https://example.com/sample-product-25
Sample Product 26,general skin care,20.00,https://example.com/sample-product-26
Sample Product 27,general skin care,21.00,https://example.com/sample-product-27
Sample Product 28,general skin care,22.00,https://example.com/sample-product-28
Sample Product 29,general skin care,23.00,https://example.com/sample-product-29
Sample Product 30,general skin care,24.00,https://example.com/sample-product-30
Sample Product 31,general skin care,25.00,https://example.com/sample-product-31
Sample Product 32,general skin care,26.00,https://example.com/sample-product-32
Sample Product 33,general skin care,27.00,https://example.com/sample-product-33
Sample Product 34,general skin care,28.00,https://example.com/sample-product-34
Sample Product 35,general skin care,29.00,https://example.com/sample-product-35
Sample Product 36,general skin care,30.00,https://example.com/sample-product-36
Sample Product 37,general skin care,31.00,https://example.com/sample-product-37
Sample Product 38,general skin care,32.00,https://example.com/sample-product-38
Sample Product 39,general skin care,33.00,https://example.com/sample-product-39
Sample Product 40,general skin care,34.00,https://example.com/sample-product-40
Sample Product 41,general skin care,15.00,https://example.com/sample-product-41
Sample Product 42,general skin care,16.00,https://example.com/sample-product-42
Sample Product 43,general skin care,17.00,https://example.com/sample-product-43
Sample Product 44,general skin care,18.00,https://example.com/sample-product-44
Sample Product 45,general skin care,19.00,https://example.com/sample-product-45
Sample Product 46,general skin care,20.00,https://example.com/sample-product-46
Sample Product 47,general skin care,21.00,https://example.com/sample-product-47
Sample Product 48,general skin care,22.00,https://example.com/sample-product-48
Sample Product 49,general skin care,23.00,https://example.com/sample-product-49
Sample Product 50,general skin care,24.00,https://example.com/sample-product-50
